"subnum" "condtion" "blocknum" "blockonset" "blockonset_real" "timepoint_TR" "versions"
"01" "0b" 1 58159 0 1 "A"
"01" "2b" 2 99160 41.001 21 "A"
"01" "0b" 3 134149 75.99 38 "A"
"01" "2b" 4 172150 113.991 57 "A"
"01" "0b" 5 212151 153.992 77 "A"
"01" "2b" 6 248153 189.994 95 "A"
"01" "0b" 7 288154 229.995 115 "A"
"01" "2b" 8 329156 270.997 136 "A"
"01" "0b" 9 368157 309.998 155 "A"
"01" "2b" 10 405158 346.999 174 "A"
"01" "0b" 11 441160 383.001 192 "A"
"01" "2b" 12 476161 418.002 209 "A"
"02" "0b" 1 78425 0 1 "A"
"02" "2b" 2 114426 36.001 18 "A"
"02" "0b" 3 154427 76.002 38 "A"
"02" "2b" 4 189428 111.003 56 "A"
"02" "0b" 5 228429 150.004 75 "A"
"02" "2b" 6 269430 191.005 96 "A"
"02" "0b" 7 304431 226.006 113 "A"
"02" "2b" 8 341431 263.006 132 "A"
"02" "0b" 9 379432 301.007 151 "A"
"02" "2b" 10 417433 339.008 170 "A"
"02" "0b" 11 453434 375.009 188 "A"
"02" "2b" 12 494435 416.01 208 "A"
"03" "0b" 1 68373 0 1 "A"
"03" "2b" 2 105374 37.001 19 "A"
"03" "0b" 3 140374 72.001 36 "A"
"03" "2b" 4 176375 108.002 54 "A"
"03" "0b" 5 215376 147.003 74 "A"
"03" "2b" 6 256377 188.004 94 "A"
"03" "0b" 7 292365 223.992 112 "A"
"03" "2b" 8 330365 261.992 131 "A"
"03" "0b" 9 370366 301.993 151 "A"
"03" "2b" 10 405367 336.994 169 "A"
"03" "0b" 11 445368 376.995 189 "A"
"03" "2b" 12 486369 417.996 209 "A"
"04" "0b" 1 42980 0 1 "A"
"04" "2b" 2 77981 35.001 18 "A"
"04" "0b" 3 113982 71.002 36 "A"
"04" "2b" 4 149983 107.003 54 "A"
"04" "0b" 5 187971 144.991 73 "A"
"04" "2b" 6 228971 185.991 93 "A"
"04" "0b" 7 268972 225.992 113 "A"
"04" "2b" 8 309973 266.993 134 "A"
"04" "0b" 9 344974 301.994 151 "A"
"04" "2b" 10 382975 339.995 170 "A"
"04" "0b" 11 421976 378.996 190 "A"
"04" "2b" 12 458976 415.996 208 "A"
"05" "0b" 1 70907 0 1 "A"
"05" "2b" 2 111908 41.001 21 "A"
"05" "0b" 3 151910 81.003 41 "A"
"05" "2b" 4 192911 122.004 61 "A"
"05" "0b" 5 231913 161.006 81 "A"
"05" "2b" 6 266901 195.994 98 "A"
"05" "0b" 7 301902 230.995 116 "A"
"05" "2b" 8 338903 267.996 134 "A"
